Position,"Track Name",Artist,Streams,URL
1,"As It Was","Harry Styles",9506440,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
2,"First Class","Jack Harlow",8066141,https://open.spotify.com/track/1rDQ4oMwGJI7B4tovsBOxc
3,"Heat Waves","Glass Animals",4359164,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
4,"STAY (with Justin Bieber)","The Kid LAROI",3510028,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
5,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",3184177,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
6,Envolver,Anitta,3123274,https://open.spotify.com/track/3IAfUEeaXRX9s9UdKOJrFI
7,"Cold Heart - PNAU Remix","Elton John",2997994,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
8,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",2980039,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
9,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",2915934,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
10,"Una Noche en Medellín","Cris Mj",2758549,https://open.spotify.com/track/1O2pcBJGej0pmH2Y9XZMs6
11,abcdefu,GAYLE,2693171,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
12,MAMIII,"Becky G",2612419,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
13,"Plan A","Paulo Londra",2598863,https://open.spotify.com/track/2gpQi3hbcUAcEG8m2dlgfB
14,Desesperados,"Rauw Alejandro",2566123,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
15,Ghost,"Justin Bieber",2396549,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
16,Woman,"Doja Cat",2390145,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
17,Shivers,"Ed Sheeran",2344618,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
18,"MIDDLE OF THE NIGHT","Elley Duhé",2328785,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
19,"good 4 u","Olivia Rodrigo",2227712,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
20,"THATS WHAT I WANT","Lil Nas X",2158955,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
21,"Easy On Me",Adele,2136677,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
22,"Fuera del mercado","Danny Ocean",2127000,https://open.spotify.com/track/1UdzJEpgJxtuXAlCOvD4S0
23,Pepas,Farruko,2091459,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
24,"Where Are You Now","Lost Frequencies",2071097,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
25,"Bad Habits","Ed Sheeran",2024702,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
26,"X ÚLTIMA VEZ","Daddy Yankee",2024098,https://open.spotify.com/track/48AJSd42lXpicsGqcgopof
27,"The Motto",Tiësto,1952656,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
28,"My Universe",Coldplay,1912084,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
29,"Blinding Lights","The Weeknd",1824631,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
